agency,agency_type,census_geo_type,census_match_name,needs_manual_review,census_match_uncertain
Pine Lawn Police Dept,municipal_police,place,"Pine Lawn city, Missouri",0,0
Pineville Police Dept,municipal_police,place,"Pineville city, Missouri",0,0
Platte City Police Dept,municipal_police,place,"Platte City city, Missouri",0,0
Platte County Sheriff's Dept,county_sheriff,county,"Platte County, Missouri",0,0
Platte Woods Police Dept,municipal_police,place,"Platte Woods city, Missouri",0,0
Plattsburg Police Dept,municipal_police,place,"Plattsburg city, Missouri",0,0
Pleasant Hill Police Dept,municipal_police,place,"Pleasant Hill city, Missouri",0,0
Pleasant Hope Police Dept,municipal_police,place,"Pleasant Hope city, Missouri",0,0
Pleasant Valley Police Dept,municipal_police,place,"Pleasant Valley city, Missouri",0,0
Polk County Sheriff's Dept,county_sheriff,county,"Polk County, Missouri",0,0
Polo Police Dept,municipal_police,place,"Polo city, Missouri",0,0
Poplar Bluff Police Dept,municipal_police,place,"Poplar Bluff city, Missouri",0,0
Portageville Police Dept,municipal_police,place,"Portageville city, Missouri",0,0
Potosi Police Dept,municipal_police,place,"Potosi city, Missouri",0,0
Prairie Home Police Dept,municipal_police,place,"Prairie Home city, Missouri",0,0
Pulaski County Sheriff's Dept,county_sheriff,county,"Pulaski County, Missouri",0,0
Purdy Police Dept,municipal_police,place,"Purdy city, Missouri",0,0
Putnam County Sheriff's Dept,county_sheriff,county,"Putnam County, Missouri",0,0
Puxico Police Dept,municipal_police,place,"Puxico city, Missouri",0,0
Queen City Police Dept,municipal_police,place,"Queen City city, Missouri",0,0
Qulin Police Dept,municipal_police,place,"Qulin city, Missouri",0,0
Ralls County Sheriff's Dept,county_sheriff,county,"Ralls County, Missouri",0,0
Randolph County Sheriff's Dept,county_sheriff,county,"Randolph County, Missouri",0,0
Ray County Sheriff's Dept,county_sheriff,county,"Ray County, Missouri",0,0
Raymore Police Dept,municipal_police,place,"Raymore city, Missouri",0,0
Raytown Police Dept,municipal_police,place,"Raytown city, Missouri",0,0
Reeds Spring Police Dept,municipal_police,place,"Reeds Spring city, Missouri",0,0
Republic Police Dept,municipal_police,place,"Republic city, Missouri",0,0
Reynolds County Sheriff's Dept,county_sheriff,county,"Reynolds County, Missouri",0,0
Rich Hill Police Dept,municipal_police,place,"Rich Hill city, Missouri",0,0
Richland Police Dept,municipal_police,place,"Richland city, Missouri",0,0
Richmond Heights Police Dept,municipal_police,place,"Richmond Heights city, Missouri",0,0
Richmond Police Dept,municipal_police,place,"Richmond city, Missouri",0,0
Ripley County Sheriff's Dept,county_sheriff,county,"Ripley County, Missouri",0,0
Riverside Police Dept,municipal_police,place,"Riverside city, Missouri",0,0
Riverview Police Dept,municipal_police,place,"Riverview city, Missouri",0,0
Rock Hill Police Dept,municipal_police,place,"Rock Hill city, Missouri",0,0
Rock Port Police Dept,municipal_police,place,"Rock Port city, Missouri",0,0
Rockaway Beach Police Dept,municipal_police,place,"Rockaway Beach city, Missouri",0,0
Rogersville Police Dept,municipal_police,place,"Rogersville city, Missouri",0,0
Rolla Police Dept,municipal_police,place,"Rolla city, Missouri",0,0
Rosebud Police Dept,municipal_police,place,"Rosebud city, Missouri",0,0
SE MO State University-Dept of Public Safety,university,place,"Cape Girardeau city, Missouri",0,0
Salem Police Dept,municipal_police,place,"Salem city, Missouri",0,0
Saline County Sheriff's Dept,county_sheriff,county,"Saline County, Missouri",0,0
Salisbury Police Dept,municipal_police,place,"Salisbury city, Missouri",0,0
Sarcoxie Police Dept,municipal_police,place,"Sarcoxie city, Missouri",0,0
Savannah Police Dept,municipal_police,place,"Savannah city, Missouri",0,0
Schuyler County Sheriff's Dept,county_sheriff,county,"Schuyler County, Missouri",0,0
Scotland County Sheriff's Dept,county_sheriff,county,"Scotland County, Missouri",0,0
Scott City Police Dept,municipal_police,place,"Scott City city, Missouri",0,0
Scott County Sheriff's Dept,county_sheriff,county,"Scott County, Missouri",0,0
Sedalia Police Dept,municipal_police,place,"Sedalia city, Missouri",0,0
Seligman Police Dept,municipal_police,place,"Seligman city, Missouri",0,0
Senath Police Dept,municipal_police,place,"Senath city, Missouri",0,0
