section,agency,metric,year,race,value,agency_type,census_geo_type,census_match_name,needs_manual_review,census_match_uncertain
by_agency,Adair County Sheriff's Dept,arrest_rate_pct,2022,Black,0.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,arrest_rate_pct,2022,Hispanic,0.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,arrest_rate_pct,2023,White,0.71,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,arrest_rate_pct,2023,Black,4.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,arrest_rate_pct,2023,Hispanic,0.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,arrest_rate_pct,2024,White,2.53,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,arrest_rate_pct,2024,Black,0.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,arrest_rate_pct,2024,Hispanic,0.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,search_rate_pct,2020,White,3.42,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,search_rate_pct,2020,Black,11.76,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,search_rate_pct,2020,Hispanic,0.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,search_rate_pct,2021,White,3.34,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,search_rate_pct,2021,Black,12.31,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,search_rate_pct,2021,Hispanic,0.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,search_rate_pct,2022,White,2.4,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,search_rate_pct,2022,Black,4.17,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,search_rate_pct,2022,Hispanic,0.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,search_rate_pct,2023,White,1.42,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,search_rate_pct,2023,Black,4.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,search_rate_pct,2023,Hispanic,0.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,search_rate_pct,2024,White,3.8,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Adair County Sheriff's Dept,search_rate_pct,2024,Black,0.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
