year,agency,comment,has_comment,source_pdf,source_url
2023,Butler Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Butterfield Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Byrnes Mill Police Dept,I would like it noted that our population per the census in 2021 was 3116. Not the 2354 stated in your report.,True,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Cabool Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Caldwell County Sheriff's Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Callaway County Sheriff's Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Calverton Park Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Camden County Sheriff's Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Camdenton Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Cameron Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Canton Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Cape Girardeau Co Sheriff's Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Cape Girardeau Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Cardwell Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Carl Junction Police Dept,"Hwy. 171, which is a major highway connecting Southeast Kansas and Southwest Missouri, goes through our city. It connects with Hwy. 49 to Arkansas, and Hwy. 71 to Kansas City, It is also the main road between Pittsburg State University in Kansas to Joplin, Missouri. Due to this corridor there is a much larger percentage of all races/ethnicities passing through that is not reflected in our city population.",True,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Carroll County Sheriff's Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Carrollton Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Carter County Sheriff's Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Carterville Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Carthage Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
