agency,county,geo_type,agency_type,hisp_stops_2020,hisp_stops_2024,total_stops_2024,stop_change_pct,hisp_arrest_rate,white_arrest_rate,arrest_ratio,hisp_search_rate,white_search_rate,search_ratio,discretionary_share,ever_commented,comment_years,has_287g,g287_type,g287_date,cluster
Odessa Police Dept,"Odessa city, Missouri",place,municipal_police,27,56,1637,107.4,1.79,1.35,1.33,0.0,3.58,0.0,37.5,False,0,False,,,Other
Montgomery County Sheriff's Dept,"Montgomery County, Missouri",county,county_sheriff,15,42,1538,180.0,11.9,7.71,1.54,19.05,16.47,1.16,59.2,False,0,False,,,Montgomery County
Livingston County Sheriff's Dept,"Livingston County, Missouri",county,county_sheriff,40,46,1025,15.0,13.04,4.9,2.66,13.04,4.9,2.66,26.1,True,1,False,,,Livingston County
DeKalb County Sheriff's Dept,"DeKalb County, Missouri",county,county_sheriff,12,54,1104,350.0,1.85,1.4,1.32,3.7,3.2,1.16,14.0,False,0,False,,,DeKalb County
Richmond Heights Police Dept,"Richmond Heights city, Missouri",place,municipal_police,5,64,5354,1180.0,0.0,1.46,0.0,3.12,1.35,2.31,60.0,True,2,False,,,Other
Franklin County Sheriff's Dept,"Franklin County, Missouri",county,county_sheriff,150,170,9969,13.3,4.71,3.67,1.28,9.41,5.3,1.78,51.1,False,0,False,,,Franklin County
Union Police Dept,"Union city, Missouri",place,municipal_police,13,22,1719,69.2,0.0,1.04,0.0,0.0,2.89,0.0,16.7,False,0,False,,,Other
Ray County Sheriff's Dept,"Ray County, Missouri",county,county_sheriff,8,44,1170,450.0,11.36,2.86,3.97,13.64,6.68,2.04,53.8,False,0,False,,,Ray County
St Peters Police Dept,"St Peters city, Missouri",place,municipal_police,46,266,10431,478.3,7.14,3.93,1.82,4.51,3.8,1.19,66.4,False,0,False,,,St. Charles County
Bourbon-Dept of Public Safety,"Bourbon city, Missouri",place,municipal_police,9,24,795,166.7,0.0,1.22,0.0,0.0,1.63,0.0,20.8,False,0,False,,,Other
