Agency,Region,Year,Stops,Indexed
Grain Valley Police Dept,KC Metro,2015,1078,67.7
Grain Valley Police Dept,KC Metro,2016,813,51.0
Grain Valley Police Dept,KC Metro,2017,1114,69.9
Grain Valley Police Dept,KC Metro,2018,1232,77.3
Grain Valley Police Dept,KC Metro,2019,1053,66.1
Grain Valley Police Dept,KC Metro,2020,855,53.7
Grain Valley Police Dept,KC Metro,2022,1053,66.1
Grain Valley Police Dept,KC Metro,2023,992,62.3
Grain Valley Police Dept,KC Metro,2024,1346,84.5
Grandview Police Dept,KC Metro,2014,4195,100.0
Grandview Police Dept,KC Metro,2015,5195,123.8
Grandview Police Dept,KC Metro,2016,2749,65.5
Grandview Police Dept,KC Metro,2017,3526,84.1
Grandview Police Dept,KC Metro,2018,3898,92.9
Grandview Police Dept,KC Metro,2019,5419,129.2
Grandview Police Dept,KC Metro,2020,3317,79.1
Grandview Police Dept,KC Metro,2021,2805,66.9
Grandview Police Dept,KC Metro,2022,1860,44.3
Grandview Police Dept,KC Metro,2023,2237,53.3
Grandview Police Dept,KC Metro,2024,1765,42.1
Greenwood Police Dept,KC Metro,2014,1369,100.0
Greenwood Police Dept,KC Metro,2015,1440,105.2
Greenwood Police Dept,KC Metro,2016,1390,101.5
Greenwood Police Dept,KC Metro,2017,1644,120.1
Greenwood Police Dept,KC Metro,2018,1008,73.6
Greenwood Police Dept,KC Metro,2019,649,47.4
Greenwood Police Dept,KC Metro,2020,1313,95.9
Greenwood Police Dept,KC Metro,2021,984,71.9
Greenwood Police Dept,KC Metro,2023,388,28.3
Greenwood Police Dept,KC Metro,2024,1196,87.4
Harrisonville Police Dept,KC Metro,2014,3162,100.0
Harrisonville Police Dept,KC Metro,2015,2266,71.7
Harrisonville Police Dept,KC Metro,2016,2108,66.7
Harrisonville Police Dept,KC Metro,2017,2384,75.4
Harrisonville Police Dept,KC Metro,2018,2511,79.4
Harrisonville Police Dept,KC Metro,2019,1340,42.4
Harrisonville Police Dept,KC Metro,2020,1336,42.3
Harrisonville Police Dept,KC Metro,2021,997,31.5
Harrisonville Police Dept,KC Metro,2022,605,19.1
Harrisonville Police Dept,KC Metro,2023,1119,35.4
Higginsville Police Dept,KC Metro,2014,1719,100.0
Higginsville Police Dept,KC Metro,2015,1163,67.7
Higginsville Police Dept,KC Metro,2016,1404,81.7
Higginsville Police Dept,KC Metro,2017,1505,87.6
Higginsville Police Dept,KC Metro,2018,2384,138.7
Higginsville Police Dept,KC Metro,2019,2112,122.9
Higginsville Police Dept,KC Metro,2020,1856,108.0
Higginsville Police Dept,KC Metro,2021,2491,144.9
Higginsville Police Dept,KC Metro,2022,1977,115.0
Higginsville Police Dept,KC Metro,2023,1800,104.7
Higginsville Police Dept,KC Metro,2024,1723,100.2
Independence Police Dept,KC Metro,2014,22132,100.0
Independence Police Dept,KC Metro,2015,22018,99.5
Independence Police Dept,KC Metro,2016,19006,85.9
Independence Police Dept,KC Metro,2017,15971,72.2
Independence Police Dept,KC Metro,2018,16838,76.1
Independence Police Dept,KC Metro,2019,17034,77.0
Independence Police Dept,KC Metro,2020,8167,36.9
Independence Police Dept,KC Metro,2021,8504,38.4
Independence Police Dept,KC Metro,2022,9323,42.1
Independence Police Dept,KC Metro,2023,12174,55.0
Independence Police Dept,KC Metro,2024,11987,54.2
Jackson County Sheriff's Dept,KC Metro,2014,8626,100.0
Jackson County Sheriff's Dept,KC Metro,2015,7034,81.5
Jackson County Sheriff's Dept,KC Metro,2016,6885,79.8
Jackson County Sheriff's Dept,KC Metro,2017,5266,61.0
Jackson County Sheriff's Dept,KC Metro,2018,3874,44.9
Jackson County Sheriff's Dept,KC Metro,2019,3972,46.0
Jackson County Sheriff's Dept,KC Metro,2020,2094,24.3
Jackson County Sheriff's Dept,KC Metro,2021,1983,23.0
Jackson County Sheriff's Dept,KC Metro,2022,2054,23.8
Jackson County Sheriff's Dept,KC Metro,2023,2146,24.9
Jackson County Sheriff's Dept,KC Metro,2024,1495,17.3
Johnson County Sheriff's Dept,KC Metro,2014,1055,100.0
