Agency,Region,Year,Stops,Indexed
Lafayette County Sheriff's Dept,KC Metro,2015,113,146.8
Lafayette County Sheriff's Dept,KC Metro,2016,108,140.3
Lafayette County Sheriff's Dept,KC Metro,2017,200,259.7
Lafayette County Sheriff's Dept,KC Metro,2018,165,214.3
Lafayette County Sheriff's Dept,KC Metro,2019,159,206.5
Lafayette County Sheriff's Dept,KC Metro,2020,157,203.9
Lafayette County Sheriff's Dept,KC Metro,2021,192,249.4
Lafayette County Sheriff's Dept,KC Metro,2022,157,203.9
Lafayette County Sheriff's Dept,KC Metro,2023,202,262.3
Lafayette County Sheriff's Dept,KC Metro,2024,173,224.7
Lake Lotawana Police Dept,KC Metro,2014,39,100.0
Lake Lotawana Police Dept,KC Metro,2015,25,64.1
Lake Lotawana Police Dept,KC Metro,2016,34,87.2
Lake Lotawana Police Dept,KC Metro,2017,17,43.6
Lake Lotawana Police Dept,KC Metro,2018,25,64.1
Lake Lotawana Police Dept,KC Metro,2019,44,112.8
Lake Lotawana Police Dept,KC Metro,2020,72,184.6
Lake Lotawana Police Dept,KC Metro,2021,113,289.7
Lake Lotawana Police Dept,KC Metro,2022,73,187.2
Lake Lotawana Police Dept,KC Metro,2023,122,312.8
Lake Lotawana Police Dept,KC Metro,2024,96,246.2
Lake Tapawingo Police Dept,KC Metro,2014,59,100.0
Lake Tapawingo Police Dept,KC Metro,2015,50,84.7
Lake Tapawingo Police Dept,KC Metro,2016,16,27.1
Lake Tapawingo Police Dept,KC Metro,2017,44,74.6
Lake Tapawingo Police Dept,KC Metro,2018,120,203.4
Lake Tapawingo Police Dept,KC Metro,2019,194,328.8
Lake Tapawingo Police Dept,KC Metro,2020,94,159.3
Lake Tapawingo Police Dept,KC Metro,2021,90,152.5
Lake Tapawingo Police Dept,KC Metro,2022,86,145.8
Lake Tapawingo Police Dept,KC Metro,2023,57,96.6
Lake Tapawingo Police Dept,KC Metro,2024,23,39.0
Lee's Summit Police Dept,KC Metro,2014,2991,100.0
Lee's Summit Police Dept,KC Metro,2015,2770,92.6
Lee's Summit Police Dept,KC Metro,2016,3205,107.2
Lee's Summit Police Dept,KC Metro,2017,3213,107.4
Lee's Summit Police Dept,KC Metro,2018,3338,111.6
Lee's Summit Police Dept,KC Metro,2019,3034,101.4
