agency,agency_type,census_geo_type,census_match_name,pop_total,pop_white,pop_black,pop_hispanic
Louisiana Police Dept,municipal_police,place,"Louisiana city, Missouri",3228,2907,186,0
Lowry City Police Dept,municipal_police,place,"Lowry City city, Missouri",618,568,6,20
Macon County Sheriff's Dept,county_sheriff,county,"Macon County, Missouri",15163,13954,275,287
Macon Police Dept,municipal_police,place,"Macon city, Missouri",5466,4672,215,183
Madison County Sheriff's Dept,county_sheriff,county,"Madison County, Missouri",12729,11738,35,356
Malden Police Dept,municipal_police,place,"Malden city, Missouri",3805,2743,438,275
Manchester Police Dept,municipal_police,place,"Manchester city, Missouri",18160,12934,658,902
Mansfield Police Dept,municipal_police,place,"Mansfield city, Missouri",1524,1478,13,4
Maplewood Police Dept,municipal_police,place,"Maplewood city, Missouri",8156,5824,832,183
Marble Hill Police Dept,municipal_police,place,"Marble Hill city, Missouri",1758,1560,38,74
Marceline Police Dept,municipal_police,place,"Marceline city, Missouri",2292,2114,56,79
Maries County Sheriff's Dept,county_sheriff,county,"Maries County, Missouri",8450,7746,18,175
Marion County Sheriff's Dept,county_sheriff,county,"Marion County, Missouri",28457,25330,1192,582
