Agency,Region,Year,Stops,Indexed
Town and Country Police Dept,STL Metro,2015,56,96.6
Town and Country Police Dept,STL Metro,2016,54,93.1
Town and Country Police Dept,STL Metro,2017,55,94.8
Town and Country Police Dept,STL Metro,2018,76,131.0
Town and Country Police Dept,STL Metro,2019,50,86.2
Town and Country Police Dept,STL Metro,2020,6,10.3
Town and Country Police Dept,STL Metro,2021,8,13.8
Town and Country Police Dept,STL Metro,2022,15,25.9
Town and Country Police Dept,STL Metro,2023,25,43.1
Town and Country Police Dept,STL Metro,2024,146,251.7
Troy Police Dept,STL Metro,2014,43,100.0
Troy Police Dept,STL Metro,2015,56,130.2
Troy Police Dept,STL Metro,2016,58,134.9
Troy Police Dept,STL Metro,2017,39,90.7
Troy Police Dept,STL Metro,2018,50,116.3
Troy Police Dept,STL Metro,2019,42,97.7
Troy Police Dept,STL Metro,2020,29,67.4
Troy Police Dept,STL Metro,2021,29,67.4
Troy Police Dept,STL Metro,2022,82,190.7
Troy Police Dept,STL Metro,2023,70,162.8
Union Police Dept,STL Metro,2014,25,100.0
Union Police Dept,STL Metro,2015,22,88.0
Union Police Dept,STL Metro,2016,33,132.0
Union Police Dept,STL Metro,2017,38,152.0
Union Police Dept,STL Metro,2018,28,112.0
Union Police Dept,STL Metro,2019,11,44.0
Union Police Dept,STL Metro,2020,13,52.0
Union Police Dept,STL Metro,2021,15,60.0
Union Police Dept,STL Metro,2022,21,84.0
Union Police Dept,STL Metro,2023,15,60.0
Union Police Dept,STL Metro,2024,22,88.0
University City Police Dept,STL Metro,2014,55,100.0
University City Police Dept,STL Metro,2015,45,81.8
University City Police Dept,STL Metro,2016,73,132.7
University City Police Dept,STL Metro,2017,80,145.5
University City Police Dept,STL Metro,2018,68,123.6
University City Police Dept,STL Metro,2019,86,156.4
University City Police Dept,STL Metro,2020,126,229.1
University City Police Dept,STL Metro,2021,133,241.8
University City Police Dept,STL Metro,2022,90,163.6
University City Police Dept,STL Metro,2023,142,258.2
Vinita Park Police Dept,STL Metro,2014,53,100.0
Vinita Park Police Dept,STL Metro,2015,32,60.4
Vinita Park Police Dept,STL Metro,2016,139,262.3
Vinita Park Police Dept,STL Metro,2017,227,428.3
Vinita Park Police Dept,STL Metro,2018,137,258.5
Vinita Park Police Dept,STL Metro,2019,104,196.2
Vinita Park Police Dept,STL Metro,2020,72,135.8
Vinita Park Police Dept,STL Metro,2021,120,226.4
Vinita Park Police Dept,STL Metro,2022,52,98.1
Vinita Park Police Dept,STL Metro,2023,58,109.4
Warren County Sheriff's Dept,STL Metro,2014,23,100.0
Warren County Sheriff's Dept,STL Metro,2015,23,100.0
Warren County Sheriff's Dept,STL Metro,2016,22,95.7
Warren County Sheriff's Dept,STL Metro,2017,32,139.1
Warren County Sheriff's Dept,STL Metro,2018,45,195.7
Warren County Sheriff's Dept,STL Metro,2019,126,547.8
Warren County Sheriff's Dept,STL Metro,2020,32,139.1
Warren County Sheriff's Dept,STL Metro,2021,54,234.8
Warren County Sheriff's Dept,STL Metro,2022,73,317.4
Warren County Sheriff's Dept,STL Metro,2023,79,343.5
Warren County Sheriff's Dept,STL Metro,2024,54,234.8
Warrenton Police Dept,STL Metro,2014,41,100.0
Warrenton Police Dept,STL Metro,2015,52,126.8
