slug,department,Total,White,Black,Hispanic,Native American,Asian,Other,year,checked
disparity-index-by-race--stops--resident-stops,Callaway County Sheriff's Dept,1260,1138,100,16,0,0,6,2022,0
rates--rates--stop-rate,Sunrise Beach Police Dept,158.84,168.1,266.67,52,100,75,3.7,2022,0
search--arrest-charge--other,Callaway County Sheriff's Dept,16,13,3,0,0,0,0,2022,0
stops--stop-outcome--searches,Callaway County Sheriff's Dept,413,348,60,4,0,0,1,2022,0
stops--location-of-stop--city-street,Callaway County Sheriff's Dept,410,347,57,4,0,0,2,2022,0
stops--driver-age--30-39,Callaway County Sheriff's Dept,516,441,62,10,0,1,2,2022,0
search--arrest-charge--traffic-violation,Callaway County Sheriff's Dept,128,101,25,2,0,0,0,2022,0
search--probable-cause--other,Callaway County Sheriff's Dept,8,7,1,0,0,0,0,2022,0
disparity-index-by-race--disparity-index--resident-stops-dec,Foristell Police Dept,,1.025,5.405,0,0,0,0,2022,0
rates--stop-rate-residents--contraband-hit-rate,Missouri Dept of Conservation Protection Branch,37.04,35.43,,33.33,,80,,2022,0
search--contraband-found--drugs-alcohol,Callaway County Sheriff's Dept,110,89,20,1,0,0,0,2022,0
stops--driver-age--18-29,Callaway County Sheriff's Dept,757,620,115,13,1,2,6,2022,0
rates--stop-rate-residents--arrest-rate,Missouri Dept of Conservation Protection Branch,3.9,3.57,9.52,10,0,0,0,2022,0
disparity-index-by-race--population--2020-decennial-pop-pct,Callaway County Sheriff's Dept,100,88.44,4.42,1.8,0.34,0.52,4.49,2022,0
stops--reason-for-stop--license,Callaway County Sheriff's Dept,858,739,99,9,1,1,9,2022,0
stops--location-of-stop--county-road,Callaway County Sheriff's Dept,310,293,11,4,1,0,1,2022,0
stops--location-of-stop--state-hwy,Callaway County Sheriff's Dept,724,632,76,11,0,1,4,2022,0
stops--driver-gender--male,Callaway County Sheriff's Dept,1328,1119,169,23,1,5,11,2022,0
disparity-index-by-race--resident-stops-acs--resident-stops-dec,Merriam Woods Police Dept,,1.131,6.516,0,0,2.172,0.081,2022,0
disparity-index-by-race--population--2021-acs-pop-pct,Callaway County Sheriff's Dept,100,91.56,4.18,1.86,0.63,0.53,3.1,2022,0
search--arrest-charge--resist-arrest,Callaway County Sheriff's Dept,20,17,3,0,0,0,0,2022,0
search--contraband-found--currency,Callaway County Sheriff's Dept,0,0,0,0,0,0,0,2022,0
rates--totals--contraband,Callaway County Sheriff's Dept,115,92,21,2,0,0,0,2022,0
rates--rates--stop-rate-residents,Sunrise Beach Police Dept,3.31,3.68,0,0,0,0,0,2022,0
search--what-searched--driver-property,Callaway County Sheriff's Dept,293,243,46,3,0,0,1,2022,0
search--what-searched--car-property,Callaway County Sheriff's Dept,24,21,3,0,0,0,0,2022,0
rates--rates--search-rate,Sunrise Beach Police Dept,1.39,1.46,0,0,0,0,0,2022,0
disparity-index-by-race--population--2021-acs-pop,Callaway County Sheriff's Dept,36172,33119,1513,674,229,191,1120,2022,0
search--search-duration--31-minutes,Callaway County Sheriff's Dept,0,0,0,0,0,0,0,2022,0
search--arrest-charge--drug-violation,Callaway County Sheriff's Dept,86,68,18,0,0,0,0,2022,0
stops--reason-for-stop--investigative,Callaway County Sheriff's Dept,97,81,12,3,0,1,0,2022,0
search--arrest-charge--drug-violation,Cassville Police Dept,7,6,0,1,0,0,0,2020,0
rates--rates--arrest-rate,Olivette Police Dept,2.11,1.62,2.88,0,0,0,1.33,2020,0
search--arrest-charge--property-offense,Qulin Police Dept,0,0,0,0,0,0,0,2020,0
search--what-searched--driver,Crane Police Dept,55,55,0,0,0,0,0,2020,0
rates--rates--arrest-rate,Adair County Sheriff's Dept,0,0,0,0,,0,,2020,0
stops--driver-age--40-and-over,Savannah Police Dept,174,172,1,0,1,0,0,2020,0
search--contraband-found--drugs-alcohol,Dixon Police Dept,37,36,1,0,0,0,0,2020,0
search--what-searched--driver,Perry Police Dept,1,1,0,0,0,0,0,2020,0
stops--location-of-stop--interstate-hwy,Jasper Police Dept,40,40,0,0,0,0,0,2020,0
stops--location-of-stop--county-road,Troy Police Dept,13,13,0,0,0,0,0,2020,0
search--arrest-charge--dwi-bac,SE MO State University-Dept of Public Safety,0,0,0,0,0,0,0,2020,0
search--probable-cause--inventory,Missouri Dept of Conservation Protection Branch,3,3,0,0,0,0,0,2020,0
stops--stop-outcome--searches,New Haven Police Dept,61,55,4,2,0,0,0,2020,0
stops--driver-gender--male,Byrnes Mill Police Dept,506,430,15,2,0,0,59,2020,0
search--search-duration--0-15-minutes,Bridgeton Police Dept,123,53,67,3,0,0,0,2020,0
search--what-searched--car-property,Boone County Sheriff's Dept,118,69,46,3,0,0,0,2020,0
rates--totals--citations,Herculaneum Police Dept,683,635,41,5,0,1,1,2020,0
stops--reason-for-stop--investigative,Louisiana Police Dept,7,6,0,1,0,0,0,2020,0
search--what-searched--driver-property,Pineville Police Dept,32,28,1,3,0,0,0,2020,0
stops-all-stops,Sullivan Police Dept,606,590,7,6,0,1,2,2020,0
rates--rates--search-rate,Marceline Police Dept,2.46,2.37,9.09,0,,,0,2020,0
stops--driver-age--18-29,Bellefontaine Neighbors Police Dept,425,19,400,0,1,0,5,2020,0
search--arrest-charge--dwi-bac,Seneca Police Dept,33,30,2,1,0,0,0,2020,0
